week,week_date,cell_id,confidence,scored,pred_net_rev_delta,actual_net_rev_delta,pred_units,actual_units,applied,week_action,baseline_net_rev_wk,baseline_units_wk,baseline_osa,baseline_sov,actual_osa,actual_sov,strikes,cell_status
W2,2026-07-06,5460_500g_Others,High,True,4042.799999999992,,1796.8,,False,cut,119450.1875,1796.75,73.72536232848213,54.159324603464285,,,,
W2,2026-07-06,5460_500g_Pune,High,True,0.0,,122.0,,False,hold,8107.970000000001,122.0,83.83898709972024,60.36118691424405,,,,
W2,2026-07-06,5533_100g_Bangalore,High,True,0.0,,22.8,,False,hold,2724.0,22.75,81.62829261152379,0.0368372002257142,,,,
W2,2026-07-06,5533_100g_Chennai,High,True,0.0,,23.0,,False,hold,2787.06,23.0,80.95913770909523,0.0442100416252976,,,,
W2,2026-07-06,5533_100g_Hyderabad,Experimental,True,0.0,,10.5,,False,hold,1183.0700000000002,10.5,64.70759695639286,0.0,,,,
W2,2026-07-06,5533_100g_Lucknow,High,True,0.0,,2.2,,False,hold,274.38,2.25,95.5182072832143,0.0644852504348214,,,,
W2,2026-07-06,5533_100g_Others,High,True,0.0,,16.8,,False,hold,2004.215,16.75,71.25661047452618,0.0020231510356464,,,,
W2,2026-07-06,5540_100g_Bangalore,High,True,0.0,,114.0,,False,hold,5471.4,114.0,75.90143784782737,0.0,,,,
W2,2026-07-06,5540_100g_Others,High,True,0.0,,23.5,,False,hold,1127.9699999999998,23.5,75.09216589864286,0.0,,,,
W2,2026-07-06,5541_500g_Pune,Experimental,True,0.0,,2.0,,False,hold,453.3333333333333,2.0,53.03617571055556,0.0,,,,
W2,2026-07-06,561937_3x1pack(10x20g)_Bangalore,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,83.03030303,0.0934659482,,,,
W2,2026-07-06,561937_3x1pack(10x20g)_Delhi-NCR,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,90.43715847,0.54204397,,,,
W2,2026-07-06,561937_3x1pack(10x20g)_Hyderabad,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,92.708333333,0.05485532841,,,,
W2,2026-07-06,561937_3x1pack(10x20g)_Kolkata,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,86.206896552,0.3054918124,,,,
W2,2026-07-06,561937_3x1pack(10x20g)_Others,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,58.080808081,0.4229659609,,,,
W2,2026-07-06,5629_500g_Delhi-NCR,High,True,0.0,,94.8,,False,hold,15125.145,94.75,79.33915005182143,1.1861920827220238,,,,
W2,2026-07-06,5629_500g_Others,High,True,0.0,,5.8,,False,hold,917.635,5.75,58.36982210703571,0.8051575777446429,,,,
W2,2026-07-06,570520_1kg_Ahmedabad,High,True,0.0,,11.0,,False,hold,1433.87,11.0,70.11552125378572,0.1122357268514285,,,,
W2,2026-07-06,570520_1kg_Bangalore,High,True,0.0,,53.0,,False,hold,6892.525,53.0,70.64439273389286,0.00512914691455,,,,
W2,2026-07-06,570520_1kg_Chandigarh Tricity,High,True,0.0,,3.2,,False,hold,422.2825,3.25,75.75163994160714,0.0372955123948214,,,,
W2,2026-07-06,570520_1kg_Chennai,High,True,0.0,,15.0,,False,hold,1981.015,15.0,56.185006435000005,0.0,,,,
W2,2026-07-06,570520_1kg_Delhi-NCR,High,True,0.0,,71.8,,False,hold,9434.285,71.75,76.01989106932143,0.0166788116667142,,,,
W2,2026-07-06,570520_1kg_Hyderabad,High,True,0.0,,44.5,,False,hold,5862.965,44.5,68.63689650610713,0.0105951807195357,,,,
W2,2026-07-06,570520_1kg_Kolkata,High,True,0.0,,28.0,,False,hold,3661.7575,28.0,56.29978895440476,0.0077087895637202,,,,
W2,2026-07-06,570520_1kg_Lucknow,High,True,0.0,,7.0,,False,hold,910.5775,7.0,82.6330532212857,0.03609819147625,,,,
W2,2026-07-06,570520_1kg_Mumbai,High,True,0.0,,33.2,,False,hold,4360.59,33.25,56.40500376616071,0.0036624232806785,,,,
W2,2026-07-06,570520_1kg_Others,High,True,0.0,,135.5,,False,hold,17819.16,135.5,62.24588711019643,0.0097595713413928,,,,
W2,2026-07-06,570520_1kg_Pune,High,True,0.0,,16.5,,False,hold,2164.76,16.5,66.09873046207143,0.0614649752492857,,,,
W2,2026-07-06,5751_500g_Ahmedabad,High,True,0.0,,36.0,,False,hold,3135.1375,36.0,76.19259818266072,16.39161444473214,,,,
W2,2026-07-06,5751_500g_Bangalore,High,True,1019.879213483147,,357.5,,False,cut,30802.5875,357.5,92.10741473020832,15.555019855988096,,,,
W2,2026-07-06,5751_500g_Chandigarh Tricity,High,True,92.7532894736843,,32.5,,False,cut,2824.3875000000003,32.5,96.3587726756119,11.816294485084525,,,,
W2,2026-07-06,5751_500g_Chennai,High,True,0.0,,96.8,,False,hold,8615.935000000001,96.75,72.02354668539286,20.71003990753572,,,,
W2,2026-07-06,5751_500g_Delhi-NCR,High,True,1453.4296932515344,,510.8,,False,cut,44228.77,510.75,92.257955414875,12.539865702053572,,,,
W2,2026-07-06,5751_500g_Hyderabad,High,True,867.9232258064535,,304.5,,False,cut,26437.385,304.5,89.0769776916786,13.734302403982142,,,,
