product_i,product_j,city,cross_elast
126995,24055,Chennai,0.007
126995,31999,Chennai,0.007
126995,495092,Chennai,0.007
495092,3586,Chennai,0.007
495092,3587,Chennai,0.007
495092,3588,Chennai,0.007
495092,3795,Chennai,0.007
495092,16661,Chennai,0.007
495092,21835,Chennai,0.007
495092,24055,Chennai,0.007
495092,31999,Chennai,0.007
495092,126995,Chennai,0.007
3586,3587,Delhi-NCR,0.0057
3586,3588,Delhi-NCR,0.0057
3586,3795,Delhi-NCR,0.0057
3586,16661,Delhi-NCR,0.0057
3586,21835,Delhi-NCR,0.0057
3586,21836,Delhi-NCR,0.0057
3586,31999,Delhi-NCR,0.0057
3586,32385,Delhi-NCR,0.0057
3586,75468,Delhi-NCR,0.0057
3586,126995,Delhi-NCR,0.0057
3586,495092,Delhi-NCR,0.0057
3587,3586,Delhi-NCR,0.0057
3587,3588,Delhi-NCR,0.0057
3587,3795,Delhi-NCR,0.0057
3587,16661,Delhi-NCR,0.0057
3587,21835,Delhi-NCR,0.0057
3587,21836,Delhi-NCR,0.0057
3587,31999,Delhi-NCR,0.0057
3587,32385,Delhi-NCR,0.0057
3587,75468,Delhi-NCR,0.0057
3587,126995,Delhi-NCR,0.0057
3587,495092,Delhi-NCR,0.0057
3588,3586,Delhi-NCR,0.0057
3588,3587,Delhi-NCR,0.0057
3588,3795,Delhi-NCR,0.0057
3588,16661,Delhi-NCR,0.0057
3588,21835,Delhi-NCR,0.0057
3588,21836,Delhi-NCR,0.0057
3588,31999,Delhi-NCR,0.0057
3588,32385,Delhi-NCR,0.0057
3588,75468,Delhi-NCR,0.0057
3588,126995,Delhi-NCR,0.0057
3588,495092,Delhi-NCR,0.0057
3795,3586,Delhi-NCR,0.0057
3795,3587,Delhi-NCR,0.0057
3795,3588,Delhi-NCR,0.0057
3795,16661,Delhi-NCR,0.0057
3795,21835,Delhi-NCR,0.0057
3795,21836,Delhi-NCR,0.0057
3795,31999,Delhi-NCR,0.0057
3795,32385,Delhi-NCR,0.0057
3795,75468,Delhi-NCR,0.0057
3795,126995,Delhi-NCR,0.0057
3795,495092,Delhi-NCR,0.0057
16661,3586,Delhi-NCR,0.0057
16661,3587,Delhi-NCR,0.0057
16661,3588,Delhi-NCR,0.0057
16661,3795,Delhi-NCR,0.0057
16661,21835,Delhi-NCR,0.0057
16661,21836,Delhi-NCR,0.0057
16661,31999,Delhi-NCR,0.0057
16661,32385,Delhi-NCR,0.0057
16661,75468,Delhi-NCR,0.0057
16661,126995,Delhi-NCR,0.0057
16661,495092,Delhi-NCR,0.0057
21835,3586,Delhi-NCR,0.0057
21835,3587,Delhi-NCR,0.0057
21835,3588,Delhi-NCR,0.0057
21835,3795,Delhi-NCR,0.0057
21835,16661,Delhi-NCR,0.0057
21835,21836,Delhi-NCR,0.0057
21835,31999,Delhi-NCR,0.0057
21835,32385,Delhi-NCR,0.0057
21835,75468,Delhi-NCR,0.0057
21835,126995,Delhi-NCR,0.0057
21835,495092,Delhi-NCR,0.0057
21836,3586,Delhi-NCR,0.0057
21836,3587,Delhi-NCR,0.0057
21836,3588,Delhi-NCR,0.0057
21836,3795,Delhi-NCR,0.0057
21836,16661,Delhi-NCR,0.0057
21836,21835,Delhi-NCR,0.0057
21836,31999,Delhi-NCR,0.0057
21836,32385,Delhi-NCR,0.0057
21836,75468,Delhi-NCR,0.0057
21836,126995,Delhi-NCR,0.0057
21836,495092,Delhi-NCR,0.0057
31999,3586,Delhi-NCR,0.0057
31999,3587,Delhi-NCR,0.0057
31999,3588,Delhi-NCR,0.0057
31999,3795,Delhi-NCR,0.0057
31999,16661,Delhi-NCR,0.0057
31999,21835,Delhi-NCR,0.0057
31999,21836,Delhi-NCR,0.0057
31999,32385,Delhi-NCR,0.0057
31999,75468,Delhi-NCR,0.0057
31999,126995,Delhi-NCR,0.0057
31999,495092,Delhi-NCR,0.0057
32385,3586,Delhi-NCR,0.0057
32385,3587,Delhi-NCR,0.0057
32385,3588,Delhi-NCR,0.0057
32385,3795,Delhi-NCR,0.0057
32385,16661,Delhi-NCR,0.0057
32385,21835,Delhi-NCR,0.0057
32385,21836,Delhi-NCR,0.0057
32385,31999,Delhi-NCR,0.0057
32385,75468,Delhi-NCR,0.0057
32385,126995,Delhi-NCR,0.0057
32385,495092,Delhi-NCR,0.0057
75468,3586,Delhi-NCR,0.0057
75468,3587,Delhi-NCR,0.0057
75468,3588,Delhi-NCR,0.0057
75468,3795,Delhi-NCR,0.0057
75468,16661,Delhi-NCR,0.0057
75468,21835,Delhi-NCR,0.0057
75468,21836,Delhi-NCR,0.0057
75468,31999,Delhi-NCR,0.0057
75468,32385,Delhi-NCR,0.0057
75468,126995,Delhi-NCR,0.0057
75468,495092,Delhi-NCR,0.0057
126995,3586,Delhi-NCR,0.0057
126995,3587,Delhi-NCR,0.0057
126995,3588,Delhi-NCR,0.0057
126995,3795,Delhi-NCR,0.0057
126995,16661,Delhi-NCR,0.0057
126995,21835,Delhi-NCR,0.0057
126995,21836,Delhi-NCR,0.0057
126995,31999,Delhi-NCR,0.0057
126995,32385,Delhi-NCR,0.0057
126995,75468,Delhi-NCR,0.0057
126995,495092,Delhi-NCR,0.0057
495092,3586,Delhi-NCR,0.0057
495092,3587,Delhi-NCR,0.0057
495092,3588,Delhi-NCR,0.0057
495092,3795,Delhi-NCR,0.0057
495092,16661,Delhi-NCR,0.0057
495092,21835,Delhi-NCR,0.0057
495092,21836,Delhi-NCR,0.0057
495092,31999,Delhi-NCR,0.0057
495092,32385,Delhi-NCR,0.0057
495092,75468,Delhi-NCR,0.0057
495092,126995,Delhi-NCR,0.0057
3586,3587,Hyderabad,0.0057
3586,3588,Hyderabad,0.0057
3586,3795,Hyderabad,0.0057
3586,16661,Hyderabad,0.0057
3586,21835,Hyderabad,0.0057
3586,24055,Hyderabad,0.0057
3586,31999,Hyderabad,0.0057
3586,32385,Hyderabad,0.0057
3586,126995,Hyderabad,0.0057
3586,495077,Hyderabad,0.0057
3586,495092,Hyderabad,0.0057
3587,3586,Hyderabad,0.0057
3587,3588,Hyderabad,0.0057
3587,3795,Hyderabad,0.0057
3587,16661,Hyderabad,0.0057
3587,21835,Hyderabad,0.0057
3587,24055,Hyderabad,0.0057
3587,31999,Hyderabad,0.0057
3587,32385,Hyderabad,0.0057
3587,126995,Hyderabad,0.0057
3587,495077,Hyderabad,0.0057
3587,495092,Hyderabad,0.0057
3588,3586,Hyderabad,0.0057
3588,3587,Hyderabad,0.0057
3588,3795,Hyderabad,0.0057
3588,16661,Hyderabad,0.0057
3588,21835,Hyderabad,0.0057
3588,24055,Hyderabad,0.0057
3588,31999,Hyderabad,0.0057
3588,32385,Hyderabad,0.0057
3588,126995,Hyderabad,0.0057
3588,495077,Hyderabad,0.0057
3588,495092,Hyderabad,0.0057
3795,3586,Hyderabad,0.0057
3795,3587,Hyderabad,0.0057
3795,3588,Hyderabad,0.0057
3795,16661,Hyderabad,0.0057
3795,21835,Hyderabad,0.0057
3795,24055,Hyderabad,0.0057
3795,31999,Hyderabad,0.0057
3795,32385,Hyderabad,0.0057
3795,126995,Hyderabad,0.0057
3795,495077,Hyderabad,0.0057
3795,495092,Hyderabad,0.0057
16661,3586,Hyderabad,0.0057
16661,3587,Hyderabad,0.0057
16661,3588,Hyderabad,0.0057
16661,3795,Hyderabad,0.0057
16661,21835,Hyderabad,0.0057
16661,24055,Hyderabad,0.0057
16661,31999,Hyderabad,0.0057
16661,32385,Hyderabad,0.0057
16661,126995,Hyderabad,0.0057
16661,495077,Hyderabad,0.0057
16661,495092,Hyderabad,0.0057
21835,3586,Hyderabad,0.0057
21835,3587,Hyderabad,0.0057
21835,3588,Hyderabad,0.0057
21835,3795,Hyderabad,0.0057
21835,16661,Hyderabad,0.0057
21835,24055,Hyderabad,0.0057
21835,31999,Hyderabad,0.0057
21835,32385,Hyderabad,0.0057
21835,126995,Hyderabad,0.0057
21835,495077,Hyderabad,0.0057
21835,495092,Hyderabad,0.0057
24055,3586,Hyderabad,0.0057
24055,3587,Hyderabad,0.0057
24055,3588,Hyderabad,0.0057
24055,3795,Hyderabad,0.0057
24055,16661,Hyderabad,0.0057
24055,21835,Hyderabad,0.0057
24055,31999,Hyderabad,0.0057
24055,32385,Hyderabad,0.0057
24055,126995,Hyderabad,0.0057
24055,495077,Hyderabad,0.0057
24055,495092,Hyderabad,0.0057
31999,3586,Hyderabad,0.0057
31999,3587,Hyderabad,0.0057
31999,3588,Hyderabad,0.0057
31999,3795,Hyderabad,0.0057
31999,16661,Hyderabad,0.0057
31999,21835,Hyderabad,0.0057
31999,24055,Hyderabad,0.0057
31999,32385,Hyderabad,0.0057
31999,126995,Hyderabad,0.0057
31999,495077,Hyderabad,0.0057
31999,495092,Hyderabad,0.0057
32385,3586,Hyderabad,0.0057
32385,3587,Hyderabad,0.0057
32385,3588,Hyderabad,0.0057
32385,3795,Hyderabad,0.0057
32385,16661,Hyderabad,0.0057
32385,21835,Hyderabad,0.0057
32385,24055,Hyderabad,0.0057
32385,31999,Hyderabad,0.0057
32385,126995,Hyderabad,0.0057
32385,495077,Hyderabad,0.0057
32385,495092,Hyderabad,0.0057
126995,3586,Hyderabad,0.0057
126995,3587,Hyderabad,0.0057
126995,3588,Hyderabad,0.0057
126995,3795,Hyderabad,0.0057
126995,16661,Hyderabad,0.0057
126995,21835,Hyderabad,0.0057
126995,24055,Hyderabad,0.0057
126995,31999,Hyderabad,0.0057
126995,32385,Hyderabad,0.0057
126995,495077,Hyderabad,0.0057
126995,495092,Hyderabad,0.0057
495077,3586,Hyderabad,0.0057
495077,3587,Hyderabad,0.0057
495077,3588,Hyderabad,0.0057
495077,3795,Hyderabad,0.0057
495077,16661,Hyderabad,0.0057
