cell_id,product_id,city,pricing_action,agree_with_cut
67917_5kg_Delhi-NCR,67917,Delhi-NCR,hold,False
81023_Delhi-NCR,81023,Delhi-NCR,raise,False
112761_Delhi-NCR,112761,Delhi-NCR,raise,False
481536_Delhi-NCR,481536,Delhi-NCR,raise,False
496799_Delhi-NCR,496799,Delhi-NCR,raise,False
521140_Delhi-NCR,521140,Delhi-NCR,hold,False
570520_Delhi-NCR,570520,Delhi-NCR,raise,False
5800_Hyderabad,5800,Hyderabad,raise,False
5801_Hyderabad,5801,Hyderabad,hold,False
67917_Hyderabad,67917,Hyderabad,hold,False
81023_Hyderabad,81023,Hyderabad,hold,False
112761_Hyderabad,112761,Hyderabad,raise,False
481536_Hyderabad,481536,Hyderabad,raise,False
496799_Hyderabad,496799,Hyderabad,raise,False
521140_Hyderabad,521140,Hyderabad,hold,False
570520_Hyderabad,570520,Hyderabad,raise,False
5800_Kolkata,5800,Kolkata,raise,False
5801_Kolkata,5801,Kolkata,hold,False
67917_5kg_Kolkata,67917,Kolkata,hold,False
112761_Kolkata,112761,Kolkata,raise,False
481536_Kolkata,481536,Kolkata,raise,False
496799_Kolkata,496799,Kolkata,raise,False
521140_5kg_Kolkata,521140,Kolkata,hold,False
570520_Kolkata,570520,Kolkata,raise,False
5800_Lucknow,5800,Lucknow,raise,False
5801_Lucknow,5801,Lucknow,hold,False
67917_Lucknow,67917,Lucknow,hold,False
112761_Lucknow,112761,Lucknow,raise,False
496799_Lucknow,496799,Lucknow,raise,False
570520_1kg_Lucknow,570520,Lucknow,raise,False
5800_Mumbai,5800,Mumbai,raise,False
5801_Mumbai,5801,Mumbai,hold,False
67917_Mumbai,67917,Mumbai,hold,False
112761_Mumbai,112761,Mumbai,raise,False
481536_Mumbai,481536,Mumbai,raise,False
496799_Mumbai,496799,Mumbai,raise,False
521140_Mumbai,521140,Mumbai,hold,False
570520_Mumbai,570520,Mumbai,raise,False
5800_1kg_Others,5800,Others,hold,False
5801_Others,5801,Others,hold,False
67917_Others,67917,Others,hold,False
81023_Others,81023,Others,raise,False
112761_Others,112761,Others,raise,False
443580_Others,443580,Others,raise,False
496799_Others,496799,Others,raise,False
521140_Others,521140,Others,raise,False
521146_Others,521146,Others,hold,False
570520_Others,570520,Others,raise,False
5800_Pune,5800,Pune,raise,False
5801_Pune,5801,Pune,hold,False
67917_5kg_Pune,67917,Pune,hold,False
112761_Pune,112761,Pune,raise,False
481536_Pune,481536,Pune,raise,False
496799_Pune,496799,Pune,raise,False
521140_Pune,521140,Pune,raise,False
570520_Pune,570520,Pune,raise,False
364165_Bangalore,364165,Bangalore,hold,False
364165_Chennai,364165,Chennai,hold,False
364165_Delhi-NCR,364165,Delhi-NCR,cut,False
542154_Delhi-NCR,542154,Delhi-NCR,cut,False
364165_Hyderabad,364165,Hyderabad,hold,False
364165_Kolkata,364165,Kolkata,hold,False
364165_Lucknow,364165,Lucknow,hold,False
364165_Mumbai,364165,Mumbai,hold,False
364165_Others,364165,Others,hold,False
542154_Others,542154,Others,cut,False
364165_Pune,364165,Pune,hold,False
21852_Bangalore,21852,Bangalore,cut,False
545408_Bangalore,545408,Bangalore,cut,False
21852_Chandigarh Tricity,21852,Chandigarh Tricity,hold,False
21852_Chennai,21852,Chennai,cut,False
545408_Chennai,545408,Chennai,hold,False
21852_Delhi-NCR,21852,Delhi-NCR,hold,False
21852_Hyderabad,21852,Hyderabad,hold,False
21852_Kolkata,21852,Kolkata,hold,False
21852_200g_Lucknow,21852,Lucknow,hold,False
21852_Mumbai,21852,Mumbai,hold,False
21852_Others,21852,Others,cut,False
545408_Others,545408,Others,cut,False
21852_Pune,21852,Pune,hold,False
21862_Ahmedabad,21862,Ahmedabad,cut,False
3596_Bangalore,3596,Bangalore,cut,False
5533_Bangalore,5533,Bangalore,cut,False
5540_Bangalore,5540,Bangalore,hold,False
21862_Bangalore,21862,Bangalore,cut,False
58549_Bangalore,58549,Bangalore,cut,False
75469_Bangalore,75469,Bangalore,cut,False
3596_Chandigarh Tricity,3596,Chandigarh Tricity,cut,False
16655_Chandigarh Tricity,16655,Chandigarh Tricity,cut,False
21862_Chandigarh Tricity,21862,Chandigarh Tricity,cut,False
75469_Chandigarh Tricity,75469,Chandigarh Tricity,cut,False
3596_Chennai,3596,Chennai,cut,False
5533_Chennai,5533,Chennai,cut,False
21862_Chennai,21862,Chennai,cut,False
58549_Chennai,58549,Chennai,cut,False
75469_Chennai,75469,Chennai,cut,False
3596_Delhi-NCR,3596,Delhi-NCR,cut,False
21862_Delhi-NCR,21862,Delhi-NCR,cut,False
