cell_id,product_id,city,pricing_action,agree_with_cut
21831_Mumbai,21831,Mumbai,cut,False
64011_Mumbai,64011,Mumbai,cut,False
495081_Mumbai,495081,Mumbai,cut,False
21831_Others,21831,Others,cut,False
64011_Others,64011,Others,cut,False
21831_Pune,21831,Pune,cut,False
64011_Pune,64011,Pune,cut,False
495081_Pune,495081,Pune,cut,False
5793_Ahmedabad,5793,Ahmedabad,hold,False
3592_Bangalore,3592,Bangalore,hold,False
5793_500g_Bangalore,5793,Bangalore,cut,True
3592_Chandigarh Tricity,3592,Chandigarh Tricity,hold,False
3592_Chennai,3592,Chennai,hold,False
5793_Chennai,5793,Chennai,cut,False
3592_500g_Delhi-NCR,3592,Delhi-NCR,cut,True
5793_500g_Delhi-NCR,5793,Delhi-NCR,cut,True
3592_Hyderabad,3592,Hyderabad,hold,False
5793_Hyderabad,5793,Hyderabad,cut,False
3592_Kolkata,3592,Kolkata,hold,False
5793_Kolkata,5793,Kolkata,cut,False
3592_Lucknow,3592,Lucknow,cut,False
5793_Lucknow,5793,Lucknow,cut,False
3592_Mumbai,3592,Mumbai,hold,False
5793_500g_Mumbai,5793,Mumbai,cut,True
3592_Others,3592,Others,hold,False
5793_Others,5793,Others,cut,False
3592_Pune,3592,Pune,hold,False
5793_Pune,5793,Pune,cut,False
496799_Ahmedabad,496799,Ahmedabad,hold,False
570520_Ahmedabad,570520,Ahmedabad,hold,False
5800_Bangalore,5800,Bangalore,raise,False
5801_Bangalore,5801,Bangalore,hold,False
67917_Bangalore,67917,Bangalore,hold,False
81023_Bangalore,81023,Bangalore,raise,False
112761_Bangalore,112761,Bangalore,raise,False
443580_Bangalore,443580,Bangalore,raise,False
481536_Bangalore,481536,Bangalore,raise,False
496799_Bangalore,496799,Bangalore,raise,False
521140_5kg_Bangalore,521140,Bangalore,hold,False
570520_Bangalore,570520,Bangalore,raise,False
5800_1kg_Chandigarh Tricity,5800,Chandigarh Tricity,hold,False
5801_Chandigarh Tricity,5801,Chandigarh Tricity,hold,False
67917_5kg_Chandigarh Tricity,67917,Chandigarh Tricity,hold,False
481536_Chandigarh Tricity,481536,Chandigarh Tricity,raise,False
521140_Chandigarh Tricity,521140,Chandigarh Tricity,raise,False
570520_Chandigarh Tricity,570520,Chandigarh Tricity,raise,False
5800_Chennai,5800,Chennai,hold,False
5801_Chennai,5801,Chennai,hold,False
67917_Chennai,67917,Chennai,hold,False
112761_Chennai,112761,Chennai,raise,False
481536_Chennai,481536,Chennai,raise,False
496799_Chennai,496799,Chennai,raise,False
570520_Chennai,570520,Chennai,raise,False
5800_Delhi-NCR,5800,Delhi-NCR,raise,False
5801_Delhi-NCR,5801,Delhi-NCR,hold,False
